"Oh snap, I\'m down to my last few hit points again. \nHis attacks do so much damage - it\'s not fair!                   \n\nAnd his stupid attack pattern keeps changing every time!",狗屎，我又在快赢的时候挂了。\n他的攻击伤害超高，一点都不平衡！                   \n\n而且他那狗屁攻击模式每次都不一样。
"I\'ve only got one life left - if I lose again I\'m going all the way back to the start.             \n\nI\'ve got other things to do, I don\'t want to be trapped in here forever!",我只剩一条命——要是输了的话我就得重新开始。             \n\n我还有别的事情要做，我可不想一直耗在这里！
"Aha! There\'s his weak spot! \nIf I can just stab him in the eye a few more times, then... maybe…",啊哈！这里是他的弱点！\n要是我能戳多几下他的眼睛，也许……可以……
I DID IT! HE\'S DEAD!         \n\nI finally finished the game!,成·功·了，他·挂·了！         \n\n终于把这款游戏给打通了。
It only took me 23 tries to beat the final boss!         \n\nI\'m such a pro!,我只重开了23次就干掉了最终BOSS！         \n\n老子不愧是游戏达人！
This ending is kind of lame though. \nI spent weeks collecting every single item... and this is all I get?           \n\nI hope there\'s more to it than this-,这结局可真够垃圾的。\n我用了几个星期来收集全部要素……就给我看这样的结局？           \n\n我还盼望着能有别的内容——
WHAT THE HELL?!              \n\nWhat the crap was that?,搞·什·么·鬼·啊？！              \n\n这是什么垃圾剧情？
"Is Hope Harbor being invaded by pirates again? \nNah, there\'s no way that pirates would have that much firepower... right?",希望港又被海盗侵略了？\n不是吧，海盗根本不可能有这么多的火力……是吧？
I\'m not gonna let this slide. \nWhoever did this to my TV is gonna pay!        \n\nI didn\'t even get to see the rest of the ending!,这事我不会就此罢休的。\n无论是谁，弄坏我电视的人都要付出代价！        \n\n剩余的结局我都还没来得及看呢！
Here we go. \nI can use this old hockey stick as a weapon. \nI think that should be enough equipment for now.,我们出发吧。 \n我的武器就选这把旧曲棍。\n我觉得现阶段这装备已经够用了。
"Hmmm, I think I\'m ready to go.    \nMaybe I should grab some snacks from the fridge too…",嗯，我觉得我已经准备好出发了。    \n我是不是该从冰箱中带走一些零食……
"Huh, old Jerry doesn\'t seem to be home.       \n\nI wonder what happened to him? \nHe never goes out…",嘿，老杰瑞好像没有回家。       \n\n不知道他出了什么事？\n他以前都不外出的……
"Hmm, using mouse controls for secrets like this feels a bit like cheating.           \n\nI guess I\'ve got the option to walk around with the keyboard if I want a more classic JRPG experience.",嗯，用鼠标操作来找隐藏地点感觉就像是作弊一样。           \n\n如果想要更加经典的日式RPG体验，我觉得用键盘来操作会更好。
Meow?,喵？
"This cat probably doesn\'t know what I\'m talking about...        \nOld JRPGs had some cryptic secrets, yo.",这只猫可能不知道我在说什么……        \n以前的日式RPG都会有一些隐藏的秘密哟。
Huh?             \n\nI forgot that I had a room back here…,哈？             \n\n我可不记得这后面有房间。
Eh...               \n\nIt smells in here.,呃……               \n\n这里好难闻。
Meow...                \nMeow!,喵……                \n喵！
"Well you would like it, wouldn\'t you? \nCats love filth!",好吧，你喜欢这里，对吧？\n猫咪最喜欢脏东西了！
Myeh...,喵唬……
